trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason
f1c02ded-45fd-4ca9-9b79-dcef8286cef0,2025-08-04 13:39:00+00:00,2025-08-04 17:14:00+00:00,2025-08-04,2025-08,SPY,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,SHORT,SCALP,A,627.36,630.4967999999999,630.4967999999999,621.0864000000003,119.0,215.0,0.02,-465.4891999999857,2000.0,-0.23274459999999286,2,-0.4654891999999857,-0.4654891999999857,loss,SL
cec5039a-154d-46c3-a554-d7ee6aed3cbf,2025-08-04 13:44:00+00:00,2025-08-04 19:56:00+00:00,2025-08-04,2025-08,SPY,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,SHORT,SCALP,A,627.775,630.913875,630.913875,621.49725,119.0,372.0,0.02,-465.79612499999814,2000.0,-0.23289806249999906,2,-0.4657961249999981,-0.9312853249999838,loss,SL
e6940854-242e-454a-aac9-a860b8ce1445,2025-08-04 15:09:00+00:00,2025-08-05 10:07:00+00:00,2025-08-04,2025-08,SPY,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,SHORT,SCALP,A,629.33,632.47665,632.47665,623.0367000000002,119.0,1138.0,0.02,-466.95134999998913,2000.0,-0.23347567499999455,2,-0.4669513499999891,-1.398236674999973,loss,SL
6c02d5aa-bb09-4558-a489-3ef1c02cc7c6,2025-08-04 14:29:00+00:00,2025-08-05 10:09:00+00:00,2025-08-04,2025-08,SPY,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,SHORT,SCALP,A,629.4,632.5469999999999,632.5469999999999,623.1060000000001,119.0,1180.0,0.02,-467.0029999999922,2000.0,-0.2335014999999961,2,-0.4670029999999922,-1.8652396749999651,loss,SL
ac7b15ab-798c-45e1-a46f-49b329a67a7f,2025-08-04 14:49:00+00:00,2025-08-05 10:27:00+00:00,2025-08-04,2025-08,SPY,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,SHORT,SCALP,A,629.52,632.6675999999999,632.6675999999999,623.2248000000002,119.0,1178.0,0.02,-467.0843999999878,2000.0,-0.2335421999999939,2,-0.4670843999999878,-2.3323240749999528,loss,SL
64ca57b2-a923-4145-b670-ad24e758196c,2025-08-04 15:54:00+00:00,2025-08-05 10:27:00+00:00,2025-08-04,2025-08,SPY,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,SHORT,SCALP,A,629.515,632.662575,632.662575,623.2198500000001,119.0,1113.0,0.02,-467.0814249999953,2000.0,-0.23354071249999767,2,-0.46708142499999533,-2.7994054999999483,loss,SL
3b67059c-3f00-407f-8cc5-2f730ddf8ba2,2025-08-04 16:14:00+00:00,2025-08-05 12:14:00+00:00,2025-08-04,2025-08,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,C,629.75,632.89875,632.89875,625.026875,79.0,1200.0,0.02,-310.88124999999604,2000.0,-0.15544062499999803,2,-0.31088124999999606,-3.1102867499999443,loss,SL
1bb34ac6-ac8a-4e5f-9cc1-6fb291d2ac6c,2025-08-04 16:29:00+00:00,2025-08-05 12:14:00+00:00,2025-08-04,2025-08,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,C,629.72,632.8686,632.8686,624.9971,79.0,1185.0,0.02,-310.84939999999904,2000.0,-0.15542469999999953,2,-0.31084939999999905,-3.4211361499999433,loss,SL
a3b28863-ce77-4392-b98e-fd046892f636,2025-08-05 13:49:00+00:00,2025-08-05 14:34:00+00:00,2025-08-05,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,632.265,629.103675,629.103675,637.0069875,73.0,45.0,0.02,-288.26672500000245,1000.0,-0.28826672500000244,2,-0.28826672500000244,-3.7094028749999457,loss,SL
3927f672-a705-4908-934d-4679f034c3e1,2025-08-05 13:39:00+00:00,2025-08-05 14:37:00+00:00,2025-08-05,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,632.06,628.8996999999999,628.8996999999999,636.80045,73.0,58.0,0.02,-288.16190000000046,1000.0,-0.28816190000000047,2,-0.28816190000000047,-3.997564774999946,loss,SL
5d8a8546-b38b-4be2-b40c-ddbc58812117,2025-08-05 13:44:00+00:00,2025-08-05 14:37:00+00:00,2025-08-05,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,631.95,628.79025,628.79025,636.6896250000001,73.0,53.0,0.02,-288.12175000000224,1000.0,-0.28812175000000223,2,-0.28812175000000223,-4.2856865249999485,loss,SL
befba12b-4d28-4f9a-826b-3c5e284c88c4,2025-08-05 13:34:00+00:00,2025-08-05 14:43:00+00:00,2025-08-05,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,631.29,628.13355,628.13355,636.0246749999999,73.0,69.0,0.02,-287.8308499999963,1000.0,-0.2878308499999963,2,-0.2878308499999963,-4.573517374999945,loss,SL
5c198151-17c7-473b-b5e8-87a2f2a68f13,2025-08-05 13:59:00+00:00,2025-08-05 14:49:00+00:00,2025-08-05,2025-08,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,C,631.9,627.16075,635.0595,627.16075,73.0,50.0,0.02,288.5852499999978,1000.0,0.2885852499999978,2,0.2885852499999978,-4.284932124999947,win,TP1
98540167-6366-48d9-b103-df1a7ec21627,2025-08-04 13:34:00+00:00,2025-08-05 23:59:00+00:00,2025-08-04,2025-08,SPY,Morning_Trap_Reversal,LONG,DAILY,C,626.89,627.23,623.75555,636.29335,79.0,2065.0,0.02,-34.84999999999749,2000.0,-0.017424999999998747,2,-0.034849999999997494,-4.319782124999945,loss,eod
7f07bf79-8596-4f77-9ca3-cb14431ac536,2025-08-04 16:19:00+00:00,2025-08-05 23:59:00+00:00,2025-08-04,2025-08,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,C,629.9707,627.23,633.1205534999999,625.24591975,79.0,1900.0,0.02,154.6552999999958,2000.0,0.0773276499999979,2,0.1546552999999958,-4.165126824999949,win,eod
ceb0602f-d5da-471d-ae84-da85eca96f4f,2025-08-04 16:24:00+00:00,2025-08-05 23:59:00+00:00,2025-08-04,2025-08,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,C,629.87,627.23,633.0193499999999,625.1459750000001,79.0,1895.0,0.02,146.6999999999989,2000.0,0.07334999999999946,2,0.14669999999999891,-4.01842682499995,win,eod
2fce9e81-8c6e-49fb-b553-fbfd740b2203,2025-08-04 16:39:00+00:00,2025-08-05 23:59:00+00:00,2025-08-04,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,629.92,627.23,626.7704,634.6443999999999,79.0,1880.0,0.02,-274.36999999999534,2000.0,-0.13718499999999767,2,-0.27436999999999534,-4.292796824999945,loss,eod
