trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,position_size,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason
f7e34984-2b1a-4fa0-b4d1-b64fd9c05df2,2025-06-02 11:55:00+00:00,2025-06-02 11:55:00+00:00,2025-06-02,2025-06,QQQ,News_Fade,SHORT,DAILY,A,516.65,519.25335,519.25335,145.0,-377.48574999999676,2000.0,-0.18874287499999837,2,-0.37748574999999673,-0.37748574999999673,loss,SL
34aba361-b3c2-4bc3-896d-eca3e24b9e32,2025-06-02 11:56:00+00:00,2025-06-02 11:56:00+00:00,2025-06-02,2025-06,QQQ,News_Fade,SHORT,DAILY,A,516.51,519.1126499999999,519.1126499999999,145.0,-377.38424999998927,2000.0,-0.18869212499999463,2,-0.37738424999998926,-0.7548699999999859,loss,SL
77b26f02-e566-4b2d-a7b5-52d7c4be9e0c,2025-06-02 11:57:00+00:00,2025-06-02 11:57:00+00:00,2025-06-02,2025-06,QQQ,News_Fade,SHORT,DAILY,A,516.48,519.0825,519.0825,145.0,-377.3624999999947,2000.0,-0.18868124999999736,2,-0.3773624999999947,-1.1322324999999807,loss,SL
2b17190b-82aa-413b-b11c-74b92c23a3c5,2025-06-02 11:58:00+00:00,2025-06-02 11:58:00+00:00,2025-06-02,2025-06,QQQ,News_Fade,SHORT,DAILY,A,516.49,519.09255,519.09255,145.0,-377.3697499999929,2000.0,-0.18868487499999645,2,-0.3773697499999929,-1.5096022499999735,loss,SL
40f7681b-2402-47bb-8999-9b66732ab400,2025-06-02 11:59:00+00:00,2025-06-02 11:59:00+00:00,2025-06-02,2025-06,QQQ,News_Fade,SHORT,DAILY,A,516.47,519.07245,519.07245,145.0,-377.35524999999654,2000.0,-0.18867762499999827,2,-0.37735524999999653,-1.88695749999997,loss,SL
4923e717-c3c0-412f-9598-da4f397ae009,2025-06-02 11:20:00+00:00,2025-06-02 11:20:00+00:00,2025-06-02,2025-06,SPY,News_Fade,SHORT,DAILY,A,587.52,590.4776999999999,590.4776999999999,127.0,-375.6278999999913,2000.0,-0.18781394999999565,2,-0.3756278999999913,-2.2625853999999612,loss,SL
29c7222d-0bea-4179-93a8-b55444f6b117,2025-06-02 11:22:00+00:00,2025-06-02 11:22:00+00:00,2025-06-02,2025-06,SPY,News_Fade,SHORT,DAILY,A,587.52,590.4776999999999,590.4776999999999,127.0,-375.6278999999913,2000.0,-0.18781394999999565,2,-0.3756278999999913,-2.6382132999999524,loss,SL
592c4eea-2d0d-4591-b95b-875fa70497c0,2025-06-02 11:23:00+00:00,2025-06-02 11:23:00+00:00,2025-06-02,2025-06,SPY,News_Fade,SHORT,DAILY,A,587.5500000000001,590.50785,590.50785,127.0,-375.64694999998653,2000.0,-0.18782347499999327,2,-0.37564694999998655,-3.0138602499999387,loss,SL
adabe347-7db1-42ff-802d-7b47e69fd55a,2025-06-02 11:24:00+00:00,2025-06-02 11:24:00+00:00,2025-06-02,2025-06,SPY,News_Fade,SHORT,DAILY,A,587.51,590.4676499999999,590.4676499999999,127.0,-375.6215499999929,2000.0,-0.18781077499999646,2,-0.3756215499999929,-3.3894817999999316,loss,SL
dd7f5a49-b165-4d96-aaee-9dabfa3832d7,2025-06-02 11:30:00+00:00,2025-06-02 11:30:00+00:00,2025-06-02,2025-06,SPY,News_Fade,SHORT,DAILY,A,587.6,590.5581,590.5581,127.0,-375.678699999993,2000.0,-0.1878393499999965,2,-0.375678699999993,-3.7651604999999244,loss,SL
