trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,market_regime,had_liquidity_sweep,entry_rr,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date
7bf59b42-97d4-4eb0-93a3-ff73c6c582b7,2025-11-12 20:34:00+00:00,2025-11-13 14:30:00+00:00,2025-11-12,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,683.825,680.405875,680.405875,694.0823750000001,73.0,1076.0,0.02,-311.6061250000006,2000.0,-0.15580306250000028,2,-0.31160612500000057,-0.31160612500000057,loss,SL,ny,none,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,684.96,683.935,1.025000000000091,SHORT,15.0,2025-11-12
23127490-7953-476c-8c47-021cbbbff2da,2025-11-12 20:44:00+00:00,2025-11-13 14:30:00+00:00,2025-11-12,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,683.7,680.2815,680.2815,693.9555,73.0,1066.0,0.02,-311.5604999999996,2000.0,-0.1557802499999998,2,-0.3115604999999996,-0.6231666250000001,loss,SL,ny,none,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,684.96,683.935,1.025000000000091,SHORT,15.0,2025-11-12
4f3a2857-e924-46cc-bc36-58d97e83c9fd,2025-11-12 20:29:00+00:00,2025-11-13 14:35:00+00:00,2025-11-12,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,683.34,679.9233,679.9233,693.5901,73.0,1086.0,0.02,-311.3890999999994,2000.0,-0.1556945499999997,2,-0.3113890999999994,-0.9345557249999995,loss,SL,ny,ny_pm,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,684.96,683.935,1.025000000000091,SHORT,15.0,2025-11-12
3f3d5f34-5c04-4f6b-af95-bc3ec063f669,2025-11-12 20:49:00+00:00,2025-11-13 14:35:00+00:00,2025-11-12,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,683.3725,679.9556375,679.9556375,693.6230874999999,73.0,1066.0,0.02,-311.4009624999985,2000.0,-0.15570048124999925,2,-0.3114009624999985,-1.2459566874999979,loss,SL,ny,none,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,684.96,683.935,1.025000000000091,SHORT,15.0,2025-11-12
3b1373c5-3611-4e47-8346-6152db7f950f,2025-11-13 15:14:00+00:00,2025-11-13 15:45:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,680.43,677.02785,677.02785,690.63645,71.0,31.0,0.02,-301.64265000000046,1000.0,-0.30164265000000046,2,-0.30164265000000046,-1.5475993374999983,loss,SL,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,NONE,15.0,2025-11-13
aa9f3bfc-c4e3-417f-9296-d8e8183b8c9f,2025-11-13 15:09:00+00:00,2025-11-13 15:46:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,679.95,676.55025,676.55025,690.1492500000002,71.0,37.0,0.02,-301.43225000000285,1000.0,-0.30143225000000284,2,-0.30143225000000284,-1.8490315875000012,loss,SL,ny,ny_open,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,NONE,15.0,2025-11-13
b6dc8aac-e199-4005-8d16-efd715490bc9,2025-11-13 15:19:00+00:00,2025-11-13 15:46:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,680.05,676.6497499999999,676.6497499999999,690.25075,71.0,27.0,0.02,-301.467750000002,1000.0,-0.30146775000000203,2,-0.30146775000000203,-2.150499337500003,loss,SL,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,NONE,15.0,2025-11-13
39809afc-6bd4-4101-acf9-57418258c0c0,2025-11-13 15:24:00+00:00,2025-11-13 15:47:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,679.7245,676.3258775,676.3258775,689.9203675,71.0,23.0,0.02,-301.3321974999991,1000.0,-0.3013321974999991,2,-0.3013321974999991,-2.451831535000002,loss,SL,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,NONE,15.0,2025-11-13
9121e08d-d19e-42fb-8bfd-10fa921d3e2b,2025-11-13 15:29:00+00:00,2025-11-13 16:06:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,678.94,675.5453,675.5453,689.1241000000002,71.0,37.0,0.02,-300.97370000000404,1000.0,-0.30097370000000406,2,-0.30097370000000406,-2.752805235000006,loss,SL,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,NONE,15.0,2025-11-13
24a99662-64e2-4daf-81ed-842e3f52e718,2025-11-12 20:59:00+00:00,2025-11-13 18:25:00+00:00,2025-11-12,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,683.33,673.0800500000004,686.7466499999999,673.0800500000004,73.0,1286.0,0.02,686.5763499999761,2000.0,0.34328817499998804,2,0.6865763499999761,-2.06622888500003,win,TP1,ny,none,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,684.96,683.935,1.025000000000091,SHORT,15.0,2025-11-12
45222da0-a4d6-4f0c-afa8-f41a45c93137,2025-11-13 16:34:00+00:00,2025-11-13 18:25:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,676.37,672.98815,672.98815,686.51555,69.0,111.0,0.02,-291.45764999999903,1000.0,-0.291457649999999,2,-0.291457649999999,-2.357686535000029,loss,SL,ny,none,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,SHORT,15.0,2025-11-13
6c5932ec-3180-493e-b1a4-fac987acc5dc,2025-11-12 20:19:00+00:00,2025-11-13 18:28:00+00:00,2025-11-12,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,683.01,672.7648500000001,686.4250499999999,672.7648500000001,73.0,1329.0,0.02,686.2459499999893,2000.0,0.34312297499999467,2,0.6862459499999893,-1.6714405850000396,win,TP1,ny,ny_pm,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,684.96,683.935,1.025000000000091,SHORT,15.0,2025-11-12
4600cba6-824a-4ab3-b297-a5bf40fa8fe3,2025-11-12 20:04:00+00:00,2025-11-13 18:35:00+00:00,2025-11-12,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,682.63,672.3905500000001,686.04315,672.3905500000001,73.0,1351.0,0.02,685.8698499999941,2000.0,0.34293492499999706,2,0.6858698499999941,-0.9855707350000454,win,TP1,ny,ny_pm,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,684.96,683.935,1.025000000000091,SHORT,15.0,2025-11-12
077792ef-1f55-4076-823c-0e3e3212488d,2025-11-12 20:09:00+00:00,2025-11-13 18:35:00+00:00,2025-11-12,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,682.53,672.2920500000004,685.9426499999998,672.2920500000004,73.0,1346.0,0.02,685.7703499999718,2000.0,0.3428851749999859,2,0.6857703499999718,-0.29980038500007367,win,TP1,ny,ny_pm,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,684.96,683.935,1.025000000000091,SHORT,15.0,2025-11-12
7b43f19f-7de0-4385-acc6-638f6af98622,2025-11-13 16:29:00+00:00,2025-11-13 18:35:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,675.73,672.35135,672.35135,685.86595,69.0,126.0,0.02,-291.18684999999954,1000.0,-0.29118684999999955,2,-0.29118684999999955,-0.5909872350000732,loss,SL,ny,none,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,SHORT,15.0,2025-11-13
beefe349-e2d0-496d-b60a-2a753f00325c,2025-11-13 17:04:00+00:00,2025-11-13 18:35:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,675.57,672.1921500000001,672.1921500000001,685.70355,69.0,91.0,0.02,-291.1216499999977,1000.0,-0.29112164999999773,2,-0.29112164999999773,-0.8821088850000709,loss,SL,ny,none,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,SHORT,15.0,2025-11-13
495dc2dc-3223-404b-a04a-617b91e60d83,2025-11-13 16:49:00+00:00,2025-11-13 19:53:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,674.9975,671.6225125,671.6225125,685.1224624999999,69.0,184.0,0.02,-290.87413749999826,1000.0,-0.29087413749999824,2,-0.29087413749999824,-1.1729830225000693,loss,SL,ny,none,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,SHORT,15.0,2025-11-13
d422ce3b-6fc7-46cf-aee4-46271b68c2ec,2025-11-13 14:39:00+00:00,2025-11-14 14:30:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,678.855,668.6721750000004,682.2492749999999,668.6721750000004,71.0,1431.0,0.02,663.3205749999744,1000.0,0.6633205749999744,2,0.6633205749999744,-0.5096624475000948,win,TP1,ny,ny_open,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,,,,,,
956ab396-5ead-48b8-9fb0-c28cee6db234,2025-11-13 14:44:00+00:00,2025-11-14 14:30:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,677.77,667.6034500000002,681.1588499999999,667.6034500000002,71.0,1426.0,0.02,662.265049999986,1000.0,0.662265049999986,2,0.662265049999986,0.15260260249989122,win,TP1,ny,ny_open,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,NONE,15.0,2025-11-13
da7e88ce-1976-40a4-b8cc-636834e4b690,2025-11-13 17:14:00+00:00,2025-11-14 14:32:00+00:00,2025-11-13,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,674.58,664.4613000000002,677.9529,664.4613000000002,70.0,1278.0,0.02,649.8189999999913,1000.0,0.6498189999999913,2,0.6498189999999913,0.8024216024998825,win,TP1,ny,none,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,680.71,677.69,3.019999999999982,SHORT,15.0,2025-11-13
48c88d99-9da5-4884-b6d8-08e30d90b433,2025-11-14 14:54:00+00:00,2025-11-14 15:45:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,668.06,671.4002999999999,671.4002999999999,658.0391000000001,76.0,51.0,0.02,-317.2127999999967,1000.0,-0.31721279999999674,2,-0.31721279999999674,0.48520880249988574,loss,SL,ny,ny_open,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
2ebd92fa-e549-44b4-9940-12433bb149b6,2025-11-14 16:04:00+00:00,2025-11-14 16:40:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,SHORT,DAILY,C,671.35,674.7067499999999,674.7067499999999,661.2797500000003,75.0,36.0,0.02,-314.606249999994,1000.0,-0.31460624999999404,2,-0.31460624999999404,0.1706025524998917,loss,SL,ny,none,chop,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
87c0cb0f-35ca-40b4-9b22-effc2c751dbb,2025-11-14 17:04:00+00:00,2025-11-14 20:49:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,674.835,671.460825,671.460825,684.9575250000001,74.0,225.0,0.02,-311.7189500000027,1000.0,-0.31171895000000266,2,-0.31171895000000266,-0.14111639750011096,loss,SL,ny,none,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
c2b98ec0-8c29-4947-8360-fef861072d90,2025-11-14 17:09:00+00:00,2025-11-14 20:49:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,674.94,671.5653000000001,671.5653000000001,685.0640999999999,74.0,220.0,0.02,-311.7677999999972,1000.0,-0.31176779999999715,2,-0.31176779999999715,-0.4528841975001081,loss,SL,ny,none,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
8a1a2f73-c7d7-4dd1-9312-7b2b32caff53,2025-11-14 15:49:00+00:00,2025-11-17 16:12:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,672.27,668.90865,668.90865,682.35405,75.0,4343.0,0.02,-314.7212500000012,1000.0,-0.3147212500000012,2,-0.3147212500000012,-0.7676054475001093,loss,SL,ny,ny_open,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
0415150b-57c1-4fdc-8258-4ef83c97c0a4,2025-11-14 15:39:00+00:00,2025-11-17 18:55:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,670.91,667.55545,667.55545,680.97365,75.0,4516.0,0.02,-314.0912500000013,1000.0,-0.3140912500000013,2,-0.3140912500000013,-1.0816966975001105,loss,SL,ny,ny_open,trend,False,3.0,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
5a229d56-5121-4d68-b410-0e72aeeab08c,2025-11-14 15:44:00+00:00,2025-11-17 18:55:00+00:00,2025-11-14,2025-11,SPY,NY_Open_Reversal,LONG,DAILY,C,671.07,667.71465,667.71465,681.1360500000002,75.0,4511.0,0.02,-314.1712500000033,1000.0,-0.3141712500000033,2,-0.3141712500000033,-1.395867947500114,loss,SL,ny,ny_open,trend,False,3.0,0.5,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,666.86,663.265,3.5950000000000273,LONG,15.0,2025-11-14
