trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date
c88113da-20b1-4d12-8a16-769bbf0767bf,2025-10-06 14:03:00+00:00,2025-10-06 15:00:00+00:00,2025-10-06,2025-10,SPY,NY_Open_Reversal,SHORT,DAILY,C,669.64,670.85,672.9881999999999,659.5954000000003,149.0,57.0,0.02,-302.6700000000054,4000.0,-0.07566750000000136,2,-0.15133500000000272,-0.15133500000000272,loss,session_end,ny,ny_open,0.4152345042532428,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,671.63,670.06,1.57000000000005,SHORT,15.0,2025-10-06
8fc35a29-4f29-455f-a9bf-5eed7fa5bf4d,2025-10-06 13:34:00+00:00,2025-10-06 15:34:00+00:00,2025-10-06,2025-10,SPY,Engulfing_Bar_V056,LONG,SCALP,A+,671.0,671.34,667.645,677.71,298.0,120.0,0.02,-142.73999999999052,4000.0,-0.03568499999999763,2,-0.07136999999999526,-0.222704999999998,loss,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,
10163f58-9d22-4af7-bd8a-580bea1e78c0,2025-10-06 13:39:00+00:00,2025-10-06 15:39:00+00:00,2025-10-06,2025-10,SPY,Engulfing_Bar_V056,LONG,SCALP,A+,670.73,671.23,667.37635,677.4373,298.0,120.0,0.02,-94.97999999999999,4000.0,-0.023745,2,-0.04749,-0.27019499999999796,loss,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,
8cd3423f-821f-4c38-8b84-a6c72b1a2678,2025-10-06 13:59:00+00:00,2025-10-06 15:59:00+00:00,2025-10-06,2025-10,SPY,FVG_Fill_V065,LONG,SCALP,A+,670.01,671.815,666.65995,676.7101,298.0,120.0,0.02,293.930000000019,4000.0,0.07348250000000475,2,0.1469650000000095,-0.12322999999998846,win,time_stop,ny,ny_open,0.5856102221131687,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,671.63,670.06,1.57000000000005,SHORT,15.0,2025-10-06
aea26f57-f3f1-49a4-97bc-5e578eb4fcb1,2025-10-06 18:20:00+00:00,2025-10-06 19:30:00+00:00,2025-10-06,2025-10,SPY,News_Fade,SHORT,DAILY,C,672.115,671.62,675.4755749999999,662.0332750000002,148.0,70.0,0.02,-48.599999999999326,2000.0,-0.024299999999999662,2,-0.024299999999999662,-0.14752999999998812,loss,session_end,ny,ny_pm,0.465,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,671.63,670.06,1.57000000000005,SHORT,15.0,2025-10-06
fe01d794-a739-4384-b688-d3d3fa0ea541,2025-10-06 18:09:00+00:00,2025-10-06 20:09:00+00:00,2025-10-06,2025-10,SPY,Liquidity_Raid_V056,LONG,SCALP,A,672.19,671.64,668.82905,678.9119000000001,222.0,120.0,0.02,-304.10000000001514,2000.0,-0.15205000000000757,2,-0.15205000000000757,-0.2995799999999957,loss,time_stop,ny,ny_pm,0.36346219287188397,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,671.63,670.06,1.57000000000005,SHORT,15.0,2025-10-06
4708dd44-8099-4ee1-96ac-f374cab257d1,2025-10-06 18:14:00+00:00,2025-10-06 20:14:00+00:00,2025-10-06,2025-10,SPY,Liquidity_Raid_V056,LONG,SCALP,A,672.18,671.61,668.8190999999999,678.9018,222.0,120.0,0.02,-308.53999999998587,2000.0,-0.15426999999999294,2,-0.15426999999999294,-0.45384999999998865,loss,time_stop,ny,ny_pm,0.28146379829891033,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,671.63,670.06,1.57000000000005,SHORT,15.0,2025-10-06
34596509-5f7f-4831-b194-ff7d1bf26ccd,2025-10-07 14:29:00+00:00,2025-10-07 15:00:00+00:00,2025-10-07,2025-10,SPY,News_Fade,LONG,DAILY,C,671.29,671.09,667.93355,681.35935,147.0,31.0,0.02,-150.32999999998998,2000.0,-0.07516499999999499,2,-0.07516499999999499,-0.5290149999999836,loss,session_end,ny,ny_open,0.34,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,672.99,672.27,0.7200000000000273,SHORT,15.0,2025-10-07
6a3646c9-ba8e-49a6-beda-0e96c7f8f45d,2025-10-07 13:35:00+00:00,2025-10-07 15:08:00+00:00,2025-10-07,2025-10,SPY,Engulfing_Bar_V056,LONG,SCALP,A+,672.85,669.48575,669.48575,679.5785,294.0,93.0,0.02,-1229.8594999999912,2000.0,-0.6149297499999956,2,-0.6149297499999956,-1.1439447499999793,loss,SL,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,
85ab24c2-1bb0-47d5-abd1-4c014f32fe00,2025-10-07 13:39:00+00:00,2025-10-07 15:09:00+00:00,2025-10-07,2025-10,SPY,Range_FVG_V054,LONG,SCALP,A,672.725,669.3613750000001,669.3613750000001,682.8158749999999,220.0,90.0,0.02,-920.1374999999904,2000.0,-0.4600687499999952,2,-0.4600687499999952,-1.6040134999999744,loss,SL,ny,ny_open,0.42365416543488565,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,
6191ea2c-5465-489c-a2a2-0e2911eb708c,2025-10-07 13:45:00+00:00,2025-10-07 15:09:00+00:00,2025-10-07,2025-10,SPY,FVG_Fill_V065,LONG,SCALP,A+,672.435,669.072825,669.072825,679.1593499999999,294.0,84.0,0.02,-1229.109449999994,2000.0,-0.614554724999997,2,-0.614554724999997,-2.2185682249999714,loss,SL,ny,ny_open,0.6105677470164035,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,672.99,672.27,0.7200000000000273,NONE,15.0,2025-10-07
7168b3fe-2cc2-4d33-8532-fda6a38e21fc,2025-10-07 13:30:00+00:00,2025-10-07 15:30:00+00:00,2025-10-07,2025-10,SPY,Engulfing_Bar_V056,LONG,SCALP,A+,672.27,669.135,668.90865,678.9927,294.0,120.0,0.02,-1162.2899999999972,2000.0,-0.5811449999999986,2,-0.5811449999999986,-2.79971322499997,loss,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,
fe52ee64-bfc9-4edf-a57f-72e2c8715bfd,2025-10-06 15:59:00+00:00,2025-10-07 20:15:00+00:00,2025-10-06,2025-10,SPY,NY_Open_Reversal,SHORT,DAILY,C,671.815,669.43,675.174075,661.7377750000002,148.0,1696.0,0.02,231.35000000001548,2000.0,0.11567500000000774,2,0.11567500000000774,-2.684038224999962,win,eod,ny,none,0.21201587031558788,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,671.63,670.06,1.57000000000005,SHORT,15.0,2025-10-06
