trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date
068b4b6d-2c8f-4e85-bf93-760489b4492d,2025-09-15 13:49:00+00:00,2025-09-15 14:19:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,C,589.68,589.96,586.7316,594.1025999999999,84.0,30.0,0.02,-38.19999999999274,2000.0,-0.01909999999999637,2,-0.03819999999999274,-0.03819999999999274,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
9d59816f-fe96-4238-a483-47e4855ab5ec,2025-09-15 13:54:00+00:00,2025-09-15 14:24:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,C,590.11,589.815,587.15945,594.535825,84.0,30.0,0.02,-86.49999999999656,2000.0,-0.04324999999999828,2,-0.08649999999999657,-0.1246999999999893,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
3e0b34f7-18e1-4749-925d-dc01d016f6b1,2025-09-15 13:59:00+00:00,2025-09-15 14:29:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,C,590.43,590.2907,587.47785,594.858225,84.0,30.0,0.02,-73.48119999999452,2000.0,-0.03674059999999726,2,-0.07348119999999451,-0.19818119999998382,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
af010e67-eafa-46bf-a7e5-26e09cffc6cb,2025-09-15 14:04:00+00:00,2025-09-15 14:34:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,C,590.25,589.97,587.29875,594.6768749999999,84.0,30.0,0.02,-85.26999999999771,2000.0,-0.042634999999998854,2,-0.08526999999999771,-0.28345119999998153,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
a877614f-a846-4408-a58c-14af5e5c2afe,2025-09-15 14:09:00+00:00,2025-09-15 14:39:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,C,590.17,590.13,587.21915,594.5962749999999,84.0,30.0,0.02,-65.11999999999695,2000.0,-0.03255999999999847,2,-0.06511999999999694,-0.3485711999999785,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
32e3302e-4a5e-4cae-bc14-2bd3d721c35d,2025-09-15 14:24:00+00:00,2025-09-15 14:54:00+00:00,2025-09-15,2025-09,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,660.305,660.89,657.003475,665.2572874999998,75.0,30.0,0.02,-17.83499999999728,1000.0,-0.01783499999999728,2,-0.01783499999999728,-0.36640619999997576,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,660.3,659.475,0.8249999999999318,LONG,15.0,2025-09-15
1539ba6d-c405-42c2-927f-f94e026fa72b,2025-09-15 14:29:00+00:00,2025-09-15 14:59:00+00:00,2025-09-15,2025-09,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,660.68,660.95,657.3765999999999,665.6351,75.0,30.0,0.02,-41.49999999999284,1000.0,-0.041499999999992834,2,-0.041499999999992834,-0.4079061999999686,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,660.3,659.475,0.8249999999999318,LONG,15.0,2025-09-15
c31ae43a-be80-4bfa-bcf3-768de7c541af,2025-09-15 14:29:00+00:00,2025-09-15 14:59:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,C,590.2907,590.468,587.3392465000001,594.71788025,84.0,30.0,0.02,-46.88680000000457,1000.0,-0.04688680000000457,2,-0.04688680000000457,-0.45479299999997314,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
73996b49-c356-4b5d-971f-9bc704f1ae51,2025-09-15 14:34:00+00:00,2025-09-15 15:04:00+00:00,2025-09-15,2025-09,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,660.515,660.92,657.2124249999999,665.4688625000001,75.0,30.0,0.02,-31.345000000002045,1000.0,-0.031345000000002045,2,-0.031345000000002045,-0.4861379999999752,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,660.3,659.475,0.8249999999999318,LONG,15.0,2025-09-15
4088832d-7e9d-4c00-84da-eb1ff3c72d4f,2025-09-15 14:44:00+00:00,2025-09-15 15:14:00+00:00,2025-09-15,2025-09,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,660.812,660.78,657.50794,665.76809,75.0,30.0,0.02,-64.14000000000294,1000.0,-0.06414000000000294,2,-0.06414000000000294,-0.5502779999999782,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,660.3,659.475,0.8249999999999318,LONG,15.0,2025-09-15
4ac2e97c-b7b2-487a-a292-1a2608db8f22,2025-09-15 14:49:00+00:00,2025-09-15 15:19:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,C,590.05,590.17,593.0002499999999,585.6246249999999,84.0,30.0,0.02,-71.84000000000039,1000.0,-0.07184000000000039,2,-0.07184000000000039,-0.6221179999999785,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
44aa44fb-e592-4824-a59d-749c756b1032,2025-09-15 14:54:00+00:00,2025-09-15 15:24:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,C,590.2,590.115,593.151,585.7735000000002,84.0,30.0,0.02,-54.609999999996944,1000.0,-0.054609999999996946,2,-0.054609999999996946,-0.6767279999999755,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
1b8606ba-2902-40ee-b37e-6e0f0e006402,2025-09-15 14:59:00+00:00,2025-09-15 15:29:00+00:00,2025-09-15,2025-09,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,660.95,660.3595,657.64525,665.9071250000001,75.0,30.0,0.02,-106.0075000000015,1000.0,-0.1060075000000015,2,-0.1060075000000015,-0.7827354999999769,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,660.3,659.475,0.8249999999999318,LONG,15.0,2025-09-15
29a2e884-845e-43fe-9bfa-6033250ceba8,2025-09-15 14:59:00+00:00,2025-09-15 15:29:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,C,590.468,590.278,593.4203399999999,586.0394900000001,84.0,30.0,0.02,-45.82000000000497,1000.0,-0.04582000000000497,2,-0.04582000000000497,-0.8285554999999819,loss,time_stop,ny,ny_open,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
d5f3b02b-b43d-4970-8250-f949100fd405,2025-09-15 15:04:00+00:00,2025-09-15 15:34:00+00:00,2025-09-15,2025-09,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,660.92,660.38,657.6153999999999,665.8769,74.0,30.0,0.02,-100.87999999999731,1000.0,-0.1008799999999973,2,-0.1008799999999973,-0.9294354999999792,loss,time_stop,ny,none,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,660.3,659.475,0.8249999999999318,LONG,15.0,2025-09-15
4ffdc1d8-00fa-43df-8e93-01053586e836,2025-09-15 15:04:00+00:00,2025-09-15 15:34:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,C,590.56,590.21,593.5127999999999,586.1308000000001,83.0,30.0,0.02,-32.01000000000755,1000.0,-0.03201000000000755,2,-0.03201000000000755,-0.9614454999999867,loss,time_stop,ny,none,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
9620b335-8fcb-4b43-a8c3-fae54c6456b9,2025-09-15 15:09:00+00:00,2025-09-15 15:39:00+00:00,2025-09-15,2025-09,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,C,590.17,590.56,593.1208499999999,585.743725,83.0,30.0,0.02,-93.42999999999887,1000.0,-0.09342999999999888,2,-0.09342999999999888,-1.0548754999999856,loss,time_stop,ny,none,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,589.64,588.295,1.3450000000000273,LONG,15.0,2025-09-15
3e0cfbeb-89d4-4272-975e-2584ecf7d331,2025-09-15 15:14:00+00:00,2025-09-15 15:44:00+00:00,2025-09-15,2025-09,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,660.78,660.39,657.4761,665.73585,74.0,30.0,0.02,-89.77999999999899,1000.0,-0.08977999999999899,2,-0.08977999999999899,-1.1446554999999847,loss,time_stop,ny,none,0.55,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,660.3,659.475,0.8249999999999318,LONG,15.0,2025-09-15
