trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r
cc1615d5-d080-473f-90a7-7ae0ede904fb,2025-08-18 13:34:00+00:00,2025-08-18 13:51:00+00:00,2025-08-18,2025-08,QQQ,Session_Open_Scalp,LONG,SCALP,B,577.555,576.312445,576.312445,579.4188324999998,86.0,17.0,0.02,-168.66972999999354,2000.0,-0.08433486499999676,2,-0.16866972999999352,-0.16866972999999352,loss,SL,ny,ny_open,0.61,B,"{'A_plus': 0.75, 'A': 0.65, 'B': 0.55}",0-1,,,,,,,0.03621570071351005,-1.2755974584626182
a26bf3aa-b222-492a-89c4-52edec33a95d,2025-08-18 13:35:00+00:00,2025-08-18 13:51:00+00:00,2025-08-18,2025-08,QQQ,BOS_Scalp_1m,LONG,SCALP,A,577.35,576.1953,576.1953,579.0820500000001,129.0,16.0,0.02,-240.6363000000062,2000.0,-0.12031815000000311,2,-0.24063630000000621,-0.40930602999999977,loss,SL,ny,ny_open,0.23063067114030464,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.2165064518922574,-1.1951156144452568
c173e86c-bd40-4c0c-8680-80ddeade7258,2025-08-18 13:39:00+00:00,2025-08-18 13:51:00+00:00,2025-08-18,2025-08,QQQ,Engulfing_Bar_V056,LONG,SCALP,A+,577.335,576.18033,576.18033,579.64434,173.0,12.0,0.02,-322.0279100000017,2000.0,-0.16101395500000087,2,-0.32202791000000175,-0.7313339400000015,loss,SL,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.1602189370122579,-1.1821559406583675
5b94cd87-c861-4459-a5b1-e5199e39bfd3,2025-08-18 13:40:00+00:00,2025-08-18 13:51:00+00:00,2025-08-18,2025-08,QQQ,BOS_Scalp_1m,LONG,SCALP,A+,577.13,575.97574,575.97574,578.86139,173.0,11.0,0.02,-321.89698000000385,2000.0,-0.16094849000000191,2,-0.32189698000000383,-1.0532309200000054,loss,SL,ny,ny_open,0.6533543026539022,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.2685703394383009,-1.0049728830592293
622ac5e1-c90d-4071-ae99-bd95e5f04a43,2025-08-18 13:30:00+00:00,2025-08-18 15:00:00+00:00,2025-08-18,2025-08,SPY,News_Fade,LONG,DAILY,C,643.225,643.24,630.3605,681.8185000000001,77.0,90.0,0.02,-60.52500000000106,2000.0,-0.03026250000000053,2,-0.06052500000000106,-1.1137559200000064,loss,session_end,ny,ny_open,0.21499999999999997,C,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,,,,,,,0.05519064091102814,-0.07190329977846528
73d84878-1725-45dc-a490-058690289b46,2025-08-18 13:34:00+00:00,2025-08-18 15:34:00+00:00,2025-08-18,2025-08,SPY,Engulfing_Bar_V056,LONG,SCALP,A+,643.3999,642.7293,630.531902,669.1358960000001,155.0,120.0,0.02,-226.07300000000555,2000.0,-0.11303650000000277,2,-0.22607300000000555,-1.339828920000012,loss,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.041583780165332686,-0.08547561166857835
093822d6-a651-4a9e-807f-e76ad2b5fd8f,2025-08-18 13:36:00+00:00,2025-08-18 15:36:00+00:00,2025-08-18,2025-08,SPY,BOS_Scalp_1m,LONG,SCALP,A+,643.38,642.56,630.5124,662.6814,155.0,120.0,0.02,-249.22000000000776,2000.0,-0.12461000000000388,2,-0.24922000000000777,-1.5890489200000197,loss,time_stop,ny,ny_open,0.5748275334810408,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.04313158630979735,-0.08393173552177856
829d343b-635c-413d-bf42-d41f230eba3d,2025-08-18 13:44:00+00:00,2025-08-18 15:44:00+00:00,2025-08-18,2025-08,QQQ,Session_Open_Scalp,LONG,SCALP,B,576.63,575.8601,573.74685,580.954725,86.0,120.0,0.02,-127.9514000000006,2000.0,-0.0639757000000003,2,-0.1279514000000006,-1.7170003200000203,loss,time_stop,ny,ny_open,0.61,B,"{'A_plus': 0.75, 'A': 0.65, 'B': 0.55}",0-1,577.6,576.41,1.1900000000000546,NONE,15.0,2025-08-18,0.3936666493245203,-0.4816953679135481
87ebacf3-f5e2-4915-a906-b8e778ee9865,2025-08-18 13:59:00+00:00,2025-08-18 15:59:00+00:00,2025-08-18,2025-08,QQQ,EMA_Cross_5m,LONG,SCALP,A,575.95,575.92,573.07025,581.7095000000002,127.0,120.0,0.02,-93.96000000001098,1000.0,-0.09396000000001098,2,-0.09396000000001098,-1.8109603200000313,loss,time_stop,ny,ny_open,0.4,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.6302630436669517,-0.24613247677749187
49395c70-4fd7-408d-bfc2-9fb03730ed0b,2025-08-18 14:04:00+00:00,2025-08-18 16:04:00+00:00,2025-08-18,2025-08,QQQ,EMA_Cross_5m,LONG,SCALP,A+,576.76,576.08,575.06824,580.1435200000001,169.0,120.0,0.02,-234.34999999999155,1000.0,-0.23434999999999157,2,-0.23434999999999157,-2.0453103200000227,loss,time_stop,ny,ny_open,0.8,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.5940558944530955,-0.8977632761147573
417c7c75-4e8e-445a-90fd-f83a51e19592,2025-08-18 14:24:00+00:00,2025-08-18 16:24:00+00:00,2025-08-18,2025-08,QQQ,EMA_Cross_5m,LONG,SCALP,A+,577.595,576.6,575.067405,582.6501900000001,169.0,120.0,0.02,-287.7050000000008,1000.0,-0.28770500000000077,2,-0.28770500000000077,-2.3330153200000234,loss,time_stop,ny,ny_open,0.8,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.06725761049533559,-0.931240962258574
fa277821-e2d0-4a2e-98f5-55e27b93d1ec,2025-08-18 15:59:00+00:00,2025-08-18 16:29:00+00:00,2025-08-18,2025-08,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,A,575.92,576.45,573.0404,580.2393999999999,125.0,30.0,0.02,-22.569999999989207,1000.0,-0.022569999999989206,2,-0.022569999999989206,-2.3555853200000128,loss,time_stop,ny,none,0.65,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.250034727045434,-0.020836227253766427
20e3a4f2-7fa2-4f35-b809-d6d9ae309db6,2025-08-18 16:09:00+00:00,2025-08-18 16:39:00+00:00,2025-08-18,2025-08,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,A,576.2,575.78,575.0476,577.9286000000002,124.0,30.0,0.02,-140.16000000000903,1000.0,-0.14016000000000903,2,-0.14016000000000903,-2.495745320000022,loss,time_stop,ny,none,0.65,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.442554668517846,-0.4859423811176948
3cb337da-a478-47b5-becb-37e9e03d12ee,2025-08-18 16:19:00+00:00,2025-08-18 16:49:00+00:00,2025-08-18,2025-08,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,A,576.4191,575.65,575.2662617999999,578.1483573,124.0,30.0,0.02,-183.46839999999756,1000.0,-0.18346839999999756,2,-0.18346839999999756,-2.6792137200000194,loss,time_stop,ny,none,0.65,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.25233376201454283,-0.9360376850800987
e1ac1418-091c-45de-882b-8f75015ecc86,2025-08-18 15:59:00+00:00,2025-08-18 17:59:00+00:00,2025-08-18,2025-08,SPY,FVG_Fill_Scalp,LONG,SCALP,C,642.7301,642.7894,639.5164495,647.55057575,75.0,120.0,0.02,-55.65249999999945,1000.0,-0.05565249999999945,2,-0.05565249999999945,-2.734866220000019,loss,time_stop,ny,none,0.0,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,643.585,642.795,0.7900000000000773,LONG,15.0,2025-08-18,0.33759115995970035,-0.17117605041371112
824f0647-de0b-4b92-92b2-3bc5cbd094ce,2025-08-18 16:04:00+00:00,2025-08-18 18:04:00+00:00,2025-08-18,2025-08,SPY,FVG_Fill_Scalp,LONG,SCALP,C,642.73,642.685,629.8754,662.0119,74.0,120.0,0.02,-62.66000000000538,1000.0,-0.06266000000000538,2,-0.06266000000000538,-2.7975262200000244,loss,time_stop,ny,none,0.21,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,643.585,642.795,0.7900000000000773,LONG,15.0,2025-08-18,0.08440558243741819,-0.042786239945238905
954e6692-4414-495c-950c-1f06bf2f612c,2025-08-18 16:09:00+00:00,2025-08-18 18:09:00+00:00,2025-08-18,2025-08,SPY,FVG_Fill_Scalp,LONG,SCALP,C,642.94,642.885,630.0812000000001,662.2282,74.0,120.0,0.02,-63.420000000004705,1000.0,-0.06342000000000471,2,-0.06342000000000471,-2.860946220000029,loss,time_stop,ny,none,0.21,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,643.585,642.795,0.7900000000000773,LONG,15.0,2025-08-18,0.06804678508103414,-0.05910349332753493
cba3cbd6-2b40-4859-ad87-14c3c9defa0f,2025-08-18 17:09:00+00:00,2025-08-18 19:54:00+00:00,2025-08-18,2025-08,QQQ,Morning_Trap_Reversal,SHORT,DAILY,C,575.915,577.521515,577.521515,571.0954549999998,82.0,165.0,0.02,-190.7342300000048,1000.0,-0.1907342300000048,2,-0.1907342300000048,-3.051680450000034,loss,SL,ny,none,0.425,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.06535886686399714,-1.0115062728950186
bb7bee6a-769a-4046-91d7-005006a798b8,2025-08-18 18:49:00+00:00,2025-08-18 20:49:00+00:00,2025-08-18,2025-08,SPY,VWAP_Bounce_5m,LONG,SCALP,A+,643.1291,643.24,630.266518,662.422973,77.0,120.0,0.02,-53.140699999998844,1000.0,-0.05314069999999885,2,-0.05314069999999885,-3.1048211500000327,loss,time_stop,ny,ny_pm,0.8,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,643.585,642.795,0.7900000000000773,LONG,15.0,2025-08-18,0.06770802316362358,-0.00925941618875614
